tipo_entidad,institucion,pais,sector,lat,lon
Universidad,Universität Potsdam,Germany               ,Medical Devices,51.165691,10.451526
Universidad,University of Bielefeld,Germany               ,Medical Devices,51.165691,10.451526
Universidad,University of Freiburg,Germany               ,Biotech (Diagnóstico y equipos médicos),51.165691,10.451526
Universidad,University of Konstanz,Germany               ,Farma,51.165691,10.451526
Universidad,University of Oldenburg,Germany               ,TIC,51.165691,10.451526
Universidad,University of Schleswig-Holstein,Germany               ,Otros,51.165691,10.451526
Universidad,Westfälische Wilhelms-Universitaet Muenster,Germany               ,TIC,51.165691,10.451526
Empresa,Intracom Telecom,Greece,TIC,39.074208,21.824312
Empresa,Santair SA,Greece,Otros,39.074208,21.824312
Universidad,Agricultural University of Athens,Greece,Industrial,39.074208,21.824312
Universidad,Aristotle University of Thessaloniki,Greece,Otros,39.074208,21.824312
Universidad,Aristotle University of Thessaloniki,Greece,Otros,39.074208,21.824312
Universidad,Aristotle University of Thessaloniki,Greece,Otros,39.074208,21.824312
Universidad,National Kapodistrian University of Athens,Greece,Otros,39.074208,21.824312
Universidad,National Kapodistrian University of Athens,Greece,E-health,39.074208,21.824312
Universidad,University of Patras,Greece,Otros,39.074208,21.824312
Universidad,Universitat Sant Carlos de Guatemala,Guatemala,Otros,15.783471,-90.230759
Empresa,Pharmapolis Klaszter Kft.,Hungary,Farma,47.162494,19.503304
Empresa,Vichem Chemie Research Ltd.,Hungary,Biotech (Diagnóstico y equipos médicos),47.162494,19.503304
Universidad,Budapest University of Technology and Economics,Hungary,Biotech (Diagnóstico y equipos médicos),47.162494,19.503304
Universidad,Medical University of Pécs,Hungary,Medical Devices,47.162494,19.503304
Universidad,Semmelweis Egyetem,Hungary,Otros,47.162494,19.503304
Universidad,University of Pécs ,Hungary,Otros,47.162494,19.503304
Universidad,University of Szeged,Hungary,Biotech (Diagnóstico y equipos médicos),47.162494,19.503304
Empresa,deCODE Genetics,Iceland,Biotech (Diagnóstico y equipos médicos),64.963051,-19.020835
Universidad,Landspitali University Hospital Reykjavik,Iceland,E-health,64.963051,-19.020835
Empresa,Veeda Clinical Research,India,Farma,20.593684,78.96288
Empresa,Cardinal Health,Ireland,TIC,53.41291,-8.24389
Empresa,IDAC Ireland Ltd.,Ireland,TIC,53.41291,-8.24389
Empresa,Pintail Ltd,Ireland,Otros,53.41291,-8.24389
Empresa,Sensl,Ireland,Industrial,53.41291,-8.24389
Universidad,Dublin City University,Ireland,Otros,53.41291,-8.24389
Universidad,National University of Ireland (NUIG),Ireland,Otros,53.41291,-8.24389
Universidad,National University of Ireland (NUIG),Ireland,Farma,53.41291,-8.24389
Universidad,National University of Ireland (NUIG),Ireland,Farma,53.41291,-8.24389
Universidad,Royal College of Surgeons in Ireland,Ireland,Biotech (Diagnóstico y equipos médicos),53.41291,-8.24389
Universidad,Trinity College Dublin,Ireland,Otros,53.41291,-8.24389
Universidad,"University College Cork, National University of Ireland",Ireland,Otros,53.41291,-8.24389
Universidad,University College Dublin,Ireland,Otros,53.41291,-8.24389
Universidad,University College Dublin,Ireland,Otros,53.41291,-8.24389
Universidad,University of Ulster,Ireland,Biotech (Diagnóstico y equipos médicos),53.41291,-8.24389
Empresa,IBM Israel-Science and technology Ltd (International Business Machines),Israel,TIC,31.046051,34.851612
Empresa,Teva Innovative Ventures,Israel,Farma,31.046051,34.851612
Universidad,The Hebrew University of Jerusalem,Israel,Medical Devices,31.046051,34.851612
Universidad,The Hebrew University of Jerusalem,Israel,Otros,31.046051,34.851612
Universidad,University of Haifa,Israel,TIC,31.046051,34.851612
Centro Tecnológico,Weizmann Institute of Science,Israel,TIC,31.046051,34.851612
Empresa,Ab-Acus S.R.L. ,Italy,E-health,41.87194,12.56738
Empresa,Advanced Computer Systems A.C.S. S.P.A. ACS,Italy,TIC,41.87194,12.56738
Empresa,Aurelia Microelectrónica S.R.L.,Italy,Medical Devices,41.87194,12.56738
Empresa,Caribel Programmaziones S.R.L.,Italy,E-health,41.87194,12.56738
Empresa,CF Consulting Finanziamenti Unione Europea,Italy,Otros,41.87194,12.56738
Empresa,"ETT s.r.l.,",Italy,TIC,41.87194,12.56738
Empresa,MILESTONE S.R.L. (MILESTONE MEDICAL),Italy,Biotech (Diagnóstico y equipos médicos),41.87194,12.56738
Empresa,Ridgeback,Italy,Otros,41.87194,12.56738
Empresa,SCS srl (Supercomputing  Solutions),Italy,TIC,41.87194,12.56738
Empresa,Siena Biotech SPA,Italy,Biotech (Diagnóstico y equipos médicos),41.87194,12.56738
Empresa,"Signo Motus, Srl",Italy,TIC,41.87194,12.56738
Empresa,Societa Finanzaria Laziale di Sviluppo - FI.LA.S. SPA FILAS,Italy,Otros,41.87194,12.56738
Empresa,Technogym,Italy,Industrial,41.87194,12.56738
Empresa,TXT e-Solutions SPA,Italy,TIC,41.87194,12.56738
